,CreditScore,Country,Gender,Age,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,Salary,Churn
48,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
49,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
50,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
51,788,France,Female,33,5,0.0,2,0,0,116978.19,0
52,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
53,601,Germany,Male,42,1,98495.72,1,1,0,,1
54,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
55,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
56,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
57,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
58,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
59,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
60,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
61,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
62,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
63,603,Germany,Male,26,4,109166.37,1,1,1,,0
64,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
65,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
66,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
67,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
68,675,France,Female,21,8,98373.26,1,1,0,18203.0,0
69,813,France,Male,29,6,0.0,1,1,0,33953.87,0
70,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
71,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
72,519,France,Male,36,9,0.0,2,0,1,145562.4,0
73,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
74,664,France,Male,55,8,0.0,2,1,1,139161.64,0
75,678,France,Female,32,9,0.0,1,1,1,148210.64,0
76,757,Spain,Male,33,5,77253.22,1,0,1,,0
77,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
78,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
79,777,France,Female,32,2,0.0,1,1,0,136458.19,1
80,543,France,Female,36,3,0.0,2,0,0,26019.59,0
81,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
82,493,France,Female,46,4,0.0,2,1,0,1907.66,0
83,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
84,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
85,729,France,Male,30,9,0.0,2,1,0,151869.35,0
86,646,France,Female,46,4,0.0,3,1,0,93251.42,1
87,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
88,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
89,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
90,524,France,Female,36,10,0.0,2,1,0,109614.57,0
91,769,France,Male,29,8,0.0,2,1,1,,0
92,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
93,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
94,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
95,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
96,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
97,413,France,Male,34,9,0.0,2,0,0,6534.18,0
98,665,France,Female,40,6,0.0,1,1,1,161848.03,0
99,623,France,Female,44,6,0.0,2,0,0,167162.43,0
100,738,France,Male,31,9,82674.15,1,1,0,,0
101,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
102,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
103,622,Spain,Female,46,4,107073.27,2,1,1,,1
104,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
105,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
106,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
107,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
108,685,Germany,Male,30,3,90536.81,1,0,1,,0
109,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
110,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
111,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
112,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
113,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
114,506,France,Female,41,1,0.0,2,1,0,31766.3,0
115,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
116,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
117,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
118,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
119,656,France,Female,39,6,0.0,2,1,0,141069.88,0
120,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
121,625,France,Female,28,3,0.0,1,0,0,,0
122,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
123,549,France,Female,52,1,0.0,1,0,1,8636.05,1
124,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
125,828,France,Female,41,7,0.0,2,1,0,171378.77,0
126,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
127,758,France,Female,34,3,0.0,2,1,1,124226.16,0
128,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
129,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
130,686,France,Male,25,1,0.0,2,0,1,16459.37,0
131,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
132,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
133,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
134,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
135,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
136,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
137,663,France,Male,34,7,0.0,2,1,1,180427.24,0
138,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
139,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
140,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
141,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
142,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
143,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
144,416,France,Male,32,0,0.0,2,0,1,878.87,0
145,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0
146,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
147,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
148,614,France,Female,43,6,0.0,2,1,1,109041.53,0
149,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
150,758,France,Female,33,7,0.0,2,0,0,,0
151,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0
152,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
153,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
154,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
155,684,France,Male,30,2,0.0,2,1,0,,0
156,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
157,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
158,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
159,660,Germany,Male,31,9,125189.75,2,1,1,,0
160,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
161,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
162,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1
163,682,Germany,Male,24,9,57929.81,2,0,0,,0
164,484,France,Female,29,4,130114.39,1,1,0,,0
165,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
166,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
167,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
168,512,France,Male,40,5,0.0,2,1,1,146457.83,0
169,484,Spain,Female,35,7,133868.21,1,1,1,,0
170,510,France,Female,30,0,0.0,2,1,1,130553.47,0
171,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
172,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
173,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
174,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
175,510,France,Male,65,2,0.0,2,1,1,48071.61,0
176,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
177,636,France,Male,42,2,0.0,2,1,1,55470.78,0
178,514,France,Male,32,8,0.0,2,1,0,95857.18,0
179,730,France,Female,39,1,99010.67,1,1,0,,0
180,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0
181,616,Spain,Male,30,5,0.0,2,0,1,,0
182,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
183,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
184,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
185,479,France,Male,40,1,0.0,2,0,0,,0
186,601,France,Male,32,8,93012.89,1,1,0,86957.42,0
187,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
188,807,France,Male,35,3,174790.15,1,1,1,600.36,0
189,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0
190,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
191,501,France,Male,57,10,0.0,2,1,1,47847.19,0
192,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
193,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
194,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
195,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
196,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
197,512,Spain,Male,33,3,176666.62,1,1,0,,0
198,550,France,Male,37,3,0.0,1,1,1,179670.31,0
199,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
200,671,France,Male,45,2,106376.85,1,0,1,158264.62,0
201,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0
202,603,France,Male,31,8,0.0,2,1,1,169915.02,0
203,620,France,Female,41,9,0.0,2,0,0,88852.47,0
204,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
205,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0
206,695,France,Male,46,7,49512.55,1,1,0,,0
207,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0
208,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
209,592,France,Male,54,8,0.0,1,1,1,28737.71,1
210,726,France,Female,31,9,114722.05,2,1,1,98178.57,0
211,514,Spain,Male,30,7,0.0,1,0,1,,0
212,567,France,Male,42,2,0.0,2,1,1,167984.61,0
213,850,France,Male,33,10,0.0,1,1,0,4861.72,1
214,670,France,Male,37,4,170557.91,2,1,0,,0
215,694,France,Female,30,9,0.0,2,1,1,26960.31,0
216,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
217,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
218,673,France,Male,72,1,0.0,2,0,1,111981.19,0
219,610,France,Male,40,0,0.0,2,1,0,62232.6,0
220,512,France,Female,37,1,0.0,2,0,1,156105.03,0
221,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
222,585,France,Female,67,5,113978.97,2,0,1,93146.11,0
223,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
224,712,France,Female,29,2,0.0,1,1,1,144375.0,0
225,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
226,668,France,Female,46,2,0.0,3,1,0,89048.46,1
227,703,France,Male,28,2,81173.83,2,0,1,162812.16,0
228,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0
229,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
230,703,France,Male,37,8,105961.68,2,0,1,74158.8,0
231,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
232,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0
233,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0
234,545,France,Female,26,1,0.0,2,1,1,199638.56,0
235,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
236,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
237,771,Germany,Female,36,5,77846.9,1,0,0,,0
238,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0
239,681,France,Female,79,0,0.0,2,0,1,170968.99,0
240,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
241,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0
242,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0
243,727,France,Male,34,10,0.0,2,1,1,198637.34,0
244,671,Germany,Female,34,6,37266.67,2,0,0,,0
245,693,France,Female,30,6,127992.25,1,1,1,50457.2,0
246,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
247,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
248,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
249,557,France,Female,32,6,184686.41,2,1,0,14956.44,0
250,682,France,Female,26,0,110654.02,1,0,1,111879.21,0
251,738,Spain,Male,31,9,79019.8,1,1,1,,0
252,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
253,498,France,Male,34,2,0.0,2,1,1,148528.24,0
254,651,France,Male,36,7,0.0,2,1,0,13898.31,0
255,791,Germany,Female,35,7,52436.2,1,1,0,,0
256,650,Spain,Male,41,9,0.0,2,0,1,191599.67,0
257,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0
258,707,France,Male,30,8,0.0,2,1,0,33159.37,0
259,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
260,706,Spain,Female,37,7,0.0,2,1,1,,0
261,756,France,Male,62,3,0.0,1,1,1,11199.04,1
262,777,France,Female,53,10,0.0,2,1,0,189992.97,0
263,646,France,Male,35,6,84026.86,1,0,1,164255.69,0
264,714,France,Male,46,1,0.0,1,1,0,152167.79,1
265,782,France,Male,39,8,0.0,2,1,1,33949.67,0
266,775,Spain,Male,29,10,0.0,2,1,1,68143.93,0
267,479,Germany,Male,35,4,138718.92,1,1,1,,1
268,807,France,Male,42,7,118274.71,1,1,1,25885.72,0
269,799,France,Female,22,8,174185.98,2,0,1,192633.85,0
270,675,France,Male,40,7,113208.86,2,1,0,,0
271,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
272,475,France,Female,32,8,119023.28,1,1,0,100816.29,0
273,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0
274,588,Spain,Male,34,10,0.0,2,1,0,79078.91,0
275,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0
276,747,Spain,Female,41,5,94521.17,2,1,0,,0
277,583,France,Male,27,7,0.0,2,1,0,51285.49,0
278,681,France,Male,38,3,0.0,2,1,1,112491.96,0
279,773,France,Male,25,2,135903.33,1,1,0,73656.38,0
280,714,France,Female,31,4,125169.26,1,1,1,106636.89,0
281,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1
282,511,France,Male,58,0,149117.31,1,1,1,162599.51,0
283,627,France,Male,33,5,0.0,2,1,1,,0
284,694,France,Female,31,10,0.0,2,1,0,160990.27,0
285,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0
286,687,France,Male,35,8,0.0,2,1,0,10334.05,0
287,712,France,Female,33,6,0.0,2,1,1,190686.16,0
288,553,France,Male,33,4,118082.89,1,0,0,94440.45,0
289,667,France,Male,31,1,119266.69,1,1,1,,0
290,629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0
291,614,France,Male,50,4,137104.47,1,1,0,,1
292,438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0
293,652,France,Female,80,4,0.0,2,1,1,188603.07,0
294,729,Germany,Male,30,6,63669.42,1,1,0,145111.37,0
295,642,France,Male,38,3,0.0,2,0,0,171463.83,0
296,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0
297,744,Spain,Male,36,2,153804.44,1,1,1,,0
298,474,Spain,Male,37,3,0.0,2,0,0,57175.32,0
299,706,Spain,Male,42,9,0.0,2,1,1,28714.34,0
300,628,Spain,Female,22,3,0.0,1,1,0,85426.28,0
301,429,France,Male,24,4,95741.75,1,1,0,,0
302,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0
303,680,France,Female,30,8,141441.75,1,1,1,16278.97,0
304,749,France,Male,40,1,139290.41,1,1,0,182855.42,1
305,763,France,Female,31,4,0.0,2,0,0,50404.72,0
306,734,France,Male,30,3,0.0,2,1,0,107640.25,0
307,716,France,Male,35,4,144428.87,1,1,0,134132.65,0
308,594,France,Male,35,2,0.0,2,1,0,103480.69,0
309,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
310,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0
311,656,France,Male,50,7,0.0,2,0,1,72143.44,0
312,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,0
313,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0
314,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0
315,659,Germany,Female,32,3,150923.74,2,0,1,174652.51,0
316,649,France,Male,33,2,0.0,2,1,0,2010.98,0
317,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
318,659,France,Male,31,4,118342.26,1,0,0,161574.19,0
319,545,Spain,Female,47,5,0.0,2,1,1,38970.14,0
320,543,France,Male,22,8,0.0,2,0,0,,0
321,718,France,Female,25,7,0.0,2,1,0,30380.12,0
322,840,France,Female,43,7,0.0,2,1,0,90908.95,0
323,630,Germany,Female,34,9,106937.05,2,1,0,138275.01,0
324,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0
325,654,Germany,Female,32,1,114510.85,1,1,1,126143.23,0
326,582,France,Male,39,5,0.0,2,1,1,129892.93,0
327,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0
328,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0
329,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0
330,670,Spain,Male,25,6,0.0,2,1,1,78358.94,0
331,613,France,Female,45,1,187841.99,2,1,1,,0
332,539,France,Male,30,0,0.0,2,1,0,160979.66,0
333,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0
334,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
335,737,France,Male,41,1,101960.74,1,1,1,123547.28,0
336,520,France,Male,58,3,0.0,2,0,1,32790.02,0
337,706,Spain,Male,28,3,0.0,2,0,1,181543.67,0
338,648,France,Female,50,9,102535.57,1,1,1,189543.19,0
339,443,Germany,Female,29,9,99027.61,2,1,0,10940.4,0
340,640,France,Male,68,9,0.0,2,1,1,199493.38,0
341,628,Spain,Female,33,3,0.0,1,1,1,188193.25,0
342,540,Germany,Female,42,9,87271.41,2,1,0,172572.64,0
343,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0
344,636,Germany,Male,34,2,40105.51,2,0,1,53512.16,0
345,593,France,Female,29,2,152265.43,1,1,0,34004.44,0
346,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0
347,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0
348,611,Germany,Male,31,0,107884.81,2,1,1,183487.98,0
349,802,Germany,Male,31,1,125013.72,1,1,1,187658.09,0
350,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0
351,769,France,Female,39,8,0.0,1,0,1,21016.0,0
352,745,Germany,Male,45,10,117231.63,3,1,1,,1
353,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0
354,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,0
355,483,France,Female,50,9,0.0,2,1,1,,0
356,690,France,Male,36,7,101583.11,2,1,0,123775.15,0
357,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0
358,709,Germany,Male,28,8,124695.72,2,1,0,145251.35,0
359,705,Germany,Male,44,3,105934.96,1,1,0,82463.69,0
360,560,France,Female,66,9,0.0,1,1,1,15928.49,0
361,611,Spain,Male,46,6,0.0,2,1,0,45886.33,0
362,730,Spain,Male,62,2,0.0,2,1,1,186489.95,0
363,709,Spain,Female,45,2,0.0,2,0,1,162922.65,0
364,544,France,Female,21,10,161525.96,2,1,0,9262.77,0
365,712,Germany,Female,29,7,147199.07,1,1,1,84932.4,0
366,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0
367,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1
368,556,Spain,Male,38,8,0.0,2,0,0,417.41,1
369,594,Spain,Female,24,0,97378.54,1,1,1,71405.17,0
370,645,Germany,Female,37,2,136925.09,2,0,1,,0
371,557,France,Male,33,3,54503.55,1,1,1,371.05,0
372,547,Germany,Male,32,8,155726.85,1,1,0,67789.99,0
373,701,France,Female,39,9,0.0,2,0,1,145894.9,0
374,616,France,Female,66,1,135842.41,1,1,0,183840.51,1
375,605,France,Male,52,1,63349.75,1,1,0,108887.44,0
376,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0
377,751,Spain,Male,52,8,0.0,2,0,1,179291.85,0
378,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0
379,685,France,Male,23,8,0.0,2,1,1,112239.03,0
380,718,France,Male,36,9,0.0,1,1,0,45909.87,0
381,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
382,611,Spain,Female,37,4,0.0,2,1,0,125696.26,0
383,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,0
384,537,Germany,Female,41,3,138306.34,1,1,0,106761.47,0
385,709,Spain,Male,23,10,0.0,2,0,0,129590.18,0
386,850,France,Male,38,1,0.0,2,1,1,80006.65,0
387,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0
388,693,Germany,Female,41,9,181461.48,3,1,1,,1
389,795,Spain,Male,35,8,0.0,2,1,0,167155.36,0
390,626,Spain,Male,26,8,0.0,2,0,0,191420.71,0
391,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
392,556,France,Female,39,9,89588.35,1,1,1,94898.1,0
393,643,France,Female,46,6,0.0,2,0,0,106781.59,0
394,605,France,Female,28,6,0.0,2,0,0,159508.52,0
395,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
396,586,France,Female,38,2,0.0,2,1,0,87168.46,0
397,535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1
398,678,France,Female,35,4,0.0,1,1,0,125518.32,0
399,596,France,Male,39,9,0.0,1,1,0,48963.59,0
400,648,France,Male,26,9,162923.85,1,1,0,98368.24,0
401,492,Germany,Male,39,10,124576.65,2,1,0,148584.61,0
402,702,France,Male,45,0,80793.58,1,1,1,27474.81,0
403,486,Germany,Female,40,9,71340.09,1,1,0,76192.21,0
404,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1
405,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
406,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0
407,548,Germany,Female,33,0,101084.36,1,1,0,42749.85,0
408,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
409,683,France,Male,33,8,0.0,1,0,0,73564.44,0
410,762,France,Female,51,3,99286.98,1,0,1,85578.63,0
411,627,Germany,Female,30,4,79871.02,2,1,0,129826.89,0
412,516,France,Male,35,10,104088.59,2,0,0,119666.0,0
413,800,France,Female,38,2,168190.33,2,1,0,68052.08,0
414,464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0
415,626,France,Female,35,3,0.0,1,0,0,80190.36,0
416,790,France,Female,31,9,0.0,2,1,0,84126.75,0
417,534,France,Female,34,7,121551.58,2,1,1,70179.0,0
418,745,France,Male,46,2,122220.19,1,1,1,118024.1,0
419,553,Spain,Male,47,3,116528.15,1,0,0,,1
420,748,France,Female,26,1,77780.29,1,0,1,183049.41,0
421,722,France,Male,37,2,0.0,1,0,0,120906.83,0
422,501,France,Male,40,4,125832.2,1,1,1,100433.83,0
423,675,France,Female,38,6,68065.8,1,0,0,138777.0,1
424,778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0
425,494,Germany,Female,38,7,174937.64,1,1,0,40084.32,0
426,850,France,Male,40,9,0.0,2,0,1,119232.33,0
427,592,Spain,Male,31,7,110071.1,1,0,0,43921.36,0
428,590,Spain,Female,44,3,139432.37,1,1,0,62222.81,0
429,758,France,Female,39,6,127357.76,1,0,1,56577.0,0
430,506,France,Male,36,5,0.0,2,1,0,164253.35,0
431,733,France,Male,33,3,0.0,1,1,1,7666.73,0
432,711,France,Male,38,3,0.0,2,1,0,68487.51,0
433,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
434,637,Spain,Male,37,8,0.0,1,1,1,186062.36,0
435,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0
436,539,France,Male,39,3,0.0,2,1,0,36692.17,0
437,509,Spain,Female,25,3,108738.71,2,1,0,106920.57,0
438,662,France,Female,32,4,133950.37,1,1,1,48725.68,1
439,818,Spain,Male,26,4,0.0,2,1,1,167036.94,0
440,608,France,Male,33,9,89968.69,1,1,0,68777.26,0
441,850,Spain,Female,32,9,0.0,2,1,1,18924.92,0
442,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1
